Time,RSSI_A,RSSI_B,RSSI_C,Dist_A,Dist_B,Dist_C,Pos_X,Pos_Y,Pos_Z
15:24:18,-53,-65,-54,2.51,10.0,2.82,-14.12,1.84,0.92
15:24:19,-47,-56,-43,1.26,3.55,0.79,-0.33,2.1,1.05
15:24:20,-45,-57,-40,1.0,3.98,0.56,-0.97,2.07,1.03
15:24:21,-44,-53,-37,0.89,2.51,0.4,0.58,2.06,1.03
15:24:22,-43,-52,-36,0.79,2.24,0.35,0.77,2.05,1.03
15:24:23,-43,-59,-37,0.79,5.01,0.4,-2.58,2.05,1.02
15:24:24,-42,-54,-36,0.71,2.82,0.35,0.26,2.04,1.02
15:24:25,-42,-52,-38,0.71,2.24,0.45,0.75,2.03,1.02
15:24:26,-46,-52,-37,1.12,2.24,0.4,0.87,2.11,1.06
15:24:27,-47,-53,-36,1.26,2.51,0.35,0.71,2.15,1.07
15:24:28,-48,-50,-37,1.41,1.78,0.4,1.31,2.18,1.09
15:24:29,-46,-51,-39,1.12,2.0,0.5,1.05,2.1,1.05
15:24:30,-45,-54,-38,1.0,2.82,0.45,0.34,2.08,1.04
15:24:31,-44,-57,-39,0.89,3.98,0.5,-1.01,2.05,1.03
15:24:32,-45,-57,-37,1.0,3.98,0.4,-0.97,2.08,1.04
15:24:33,-44,-56,-38,0.89,3.55,0.45,-0.47,2.06,1.03
15:24:34,-43,-64,-38,0.79,8.91,0.45,-11.63,2.04,1.02
15:24:35,-50,-49,-43,1.78,1.58,0.79,1.61,2.25,1.13
15:24:36,-18,-46,-47,0.04,1.12,1.26,1.29,1.84,0.92
15:24:37,-18,-45,-53,0.04,1.0,2.51,1.33,1.37,0.68
15:24:38,-18,-47,-61,0.04,1.26,6.31,1.24,-1.98,-0.99
15:24:39,-18,-46,-59,0.04,1.12,5.01,1.29,-0.51,-0.26
15:24:40,-18,-45,-61,0.04,1.0,6.31,1.33,-1.98,-0.99
15:24:41,-25,-47,-48,0.1,1.26,1.41,1.24,1.8,0.9
15:24:42,-26,-47,-49,0.11,1.26,1.58,1.24,1.75,0.88
15:24:43,-17,-50,-54,0.04,1.78,2.82,0.97,1.21,0.6
15:24:44,-22,-41,-62,0.07,0.63,7.08,1.43,-3.01,-1.51
15:24:45,-40,-48,-48,0.56,1.41,1.41,1.22,1.83,0.92
15:24:46,-39,-53,-46,0.5,2.51,1.12,0.49,1.9,0.95
15:24:47,-35,-43,-49,0.32,0.79,1.58,1.41,1.76,0.88
15:24:48,-53,-30,-42,2.51,0.18,0.71,2.55,2.58,1.29
15:24:49,-53,-27,-45,2.51,0.13,1.0,2.55,2.53,1.27
15:24:50,-52,-26,-46,2.24,0.11,1.12,2.33,2.38,1.19
15:24:51,-52,-26,-44,2.24,0.11,0.89,2.33,2.42,1.21
15:24:52,-50,-27,-45,1.78,0.13,1.0,2.02,2.22,1.11
15:24:53,-50,-27,-45,1.78,0.13,1.0,2.02,2.22,1.11
15:24:54,-50,-27,-44,1.78,0.13,0.89,2.02,2.24,1.12
15:24:55,-49,-26,-46,1.58,0.11,1.12,1.92,2.13,1.06
15:24:56,-48,-28,-44,1.41,0.14,0.89,1.83,2.12,1.06
15:24:57,-32,-48,-53,0.22,1.41,2.51,1.18,1.37,0.69
15:24:58,-46,-48,-48,1.12,1.41,1.41,1.38,1.93,0.96
15:24:59,-34,-45,-51,0.28,1.0,2.0,1.35,1.61,0.8
15:25:00,-43,-42,-45,0.79,0.71,1.0,1.52,1.96,0.98
15:25:01,-43,-41,-45,0.79,0.63,1.0,1.54,1.96,0.98
15:25:02,-39,-42,-45,0.5,0.71,1.0,1.46,1.93,0.96
15:25:03,-41,-42,-45,0.63,0.71,1.0,1.48,1.94,0.97
15:25:04,-42,-43,-47,0.71,0.79,1.26,1.48,1.89,0.95
15:25:05,-38,-43,-47,0.45,0.79,1.26,1.43,1.86,0.93
15:25:06,-42,-42,-47,0.71,0.71,1.26,1.5,1.89,0.95
15:25:07,-38,-43,-49,0.45,0.79,1.58,1.43,1.77,0.88
15:25:08,-39,-45,-53,0.5,1.0,2.51,1.38,1.39,0.7
15:25:09,-56,-47,-29,3.55,1.26,0.16,3.33,3.26,1.63
15:25:10,-53,-44,-24,2.51,0.89,0.09,2.42,2.63,1.32
15:25:11,-53,-46,-27,2.51,1.12,0.13,2.34,2.63,1.31
15:25:12,-51,-46,-27,2.0,1.12,0.13,1.95,2.4,1.2
15:25:13,-50,-48,-25,1.78,1.41,0.1,1.69,2.32,1.16
15:25:14,-52,-45,-38,2.24,1.0,0.45,2.17,2.48,1.24
15:25:15,-34,-46,-38,0.28,1.12,0.45,1.3,1.99,0.99
15:25:16,-41,-52,-46,0.63,2.24,1.12,0.73,1.91,0.96
